,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,3,0.5,0.1,0.1
1,100,2,0.5,0.04,0.1
2,100,4,0.3,0.02,0.1
3,100,2,0.01,0.2,1.0
4,100,2,0.01,0.02,1.0
5,100,4,0.01,0.2,0.1
6,100,3,0.5,0.2,0.1
7,100,2,0.01,0.06,1.0
8,100,4,0.5,0.02,10.0
9,200,3,0.01,0.2,20.0
10,100,2,0.5,0.02,1.0
11,100,3,0.5,0.04,0.1
12,100,4,0.5,0.04,0.1
13,100,2,0.3,0.02,0.1
14,200,3,0.01,0.2,1.0
15,100,2,0.3,0.2,0.1
16,100,4,0.3,0.1,0.1
17,100,4,0.3,0.02,0.1
18,100,3,0.3,0.06,0.1
19,100,4,0.5,0.02,0.1
