,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,2,0.1,0.1,1.0
1,400,3,0.01,0.2,0.1
2,100,3,0.1,0.2,0.1
3,100,4,0.3,0.02,0.1
4,100,2,0.5,0.1,1.0
5,200,4,0.1,0.04,1.0
6,400,2,0.01,0.1,0.1
7,100,3,0.3,0.02,20.0
8,100,3,0.3,0.06,0.1
9,200,2,0.1,0.02,1.0
10,100,2,0.5,0.06,10.0
11,100,3,0.5,0.06,0.1
12,200,3,0.1,0.02,0.1
13,100,3,0.5,0.06,0.1
14,100,4,0.3,0.04,0.1
15,100,4,0.5,0.1,0.1
16,100,3,0.3,0.04,0.1
17,100,3,0.5,0.04,10.0
18,100,3,0.5,0.06,1.0
19,400,3,0.5,0.1,20.0
