,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,2,0.5,0.1,0.1
1,100,2,0.5,0.06,1.0
2,100,2,0.5,0.04,0.1
3,100,3,0.1,0.02,1.0
4,100,3,0.1,0.04,0.1
5,100,2,0.01,0.1,0.1
6,100,2,0.5,0.06,1.0
7,100,2,0.5,0.04,1.0
8,200,2,0.01,0.2,20.0
9,100,3,0.1,0.02,0.1
10,100,2,0.01,0.2,1.0
11,100,2,0.3,0.04,0.1
12,100,2,0.5,0.2,0.1
13,100,2,0.3,0.2,0.1
14,200,2,0.01,0.06,0.1
15,100,2,0.5,0.06,1.0
16,100,2,0.5,0.04,0.1
17,100,2,0.1,0.02,0.1
18,100,2,0.5,0.04,1.0
19,100,2,0.5,0.06,0.1
