,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,100,2,0.5,0.2,1.0
1,100,2,0.6,0.6,0.1
2,100,2,0.1,0.05,10.0
3,100,2,0.5,0.05,10.0
4,100,2,0.6,0.6,10.0
5,100,2,0.5,0.1,20.0
6,100,2,0.5,0.05,10.0
7,100,3,0.3,0.1,0.1
8,100,2,0.3,0.1,0.1
9,100,2,0.5,0.05,20.0
10,100,2,0.3,0.6,1.0
11,200,2,0.1,0.05,20.0
12,100,2,0.6,0.2,0.1
13,100,2,0.5,0.1,1.0
14,100,2,0.5,0.4,0.1
15,100,3,0.3,0.05,0.1
16,100,2,0.6,0.2,0.1
17,100,2,0.3,0.05,0.1
18,100,2,0.3,0.1,0.1
19,100,2,0.1,0.1,0.1
