12,2,2,0,13,3,3,0
2,1,0,1,3,0,1,0
9,5,2,0,16,0,3,0
3,0,0,1,3,0,0,1
10,4,2,0,12,4,2,1
3,0,0,1,0,3,1,0
10,4,2,0,14,2,3,0
0,3,1,0,1,2,1,0
9,5,0,2,13,3,3,0
0,3,0,1,2,1,1,0
10,4,2,0,14,2,3,0
1,2,0,1,1,2,1,0
5,9,1,1,12,4,3,0
0,3,0,1,2,1,1,0
11,3,1,1,11,5,2,1
3,0,0,1,2,1,1,0
13,1,2,0,15,1,3,0
2,1,0,1,3,0,1,0
6,8,1,1,14,2,3,0
1,2,1,0,1,2,1,0
13,1,2,0,15,1,2,1
2,1,0,1,2,1,1,0
10,4,2,0,12,4,2,1
3,0,1,0,0,3,1,0
14,0,2,0,13,3,2,1
3,0,1,0,2,1,1,0
11,3,2,0,13,3,2,1
1,2,1,0,3,0,1,0
10,4,1,1,11,5,3,0
2,1,0,1,2,1,1,0
9,5,1,1,15,1,3,0
2,1,0,1,1,2,1,0
9,5,1,1,9,7,2,1
0,3,1,0,2,1,1,0
13,1,1,1,14,2,3,0
2,1,1,0,3,0,1,0
5,9,0,2,9,7,1,2
0,3,0,1,0,3,1,0
10,4,2,0,14,2,2,1
2,1,0,1,2,1,1,0
