,n_estimators,max_depth,learning_rate,colsample_bynode,reg_lambda
0,200,3,0.01,0.04,0.1
1,400,3,0.01,0.1,10.0
2,100,2,0.3,0.04,1.0
3,100,2,0.5,0.04,0.1
4,100,2,0.1,0.2,20.0
5,100,2,0.5,0.2,1.0
6,200,2,0.01,0.1,10.0
7,100,2,0.1,0.2,0.1
8,100,2,0.5,0.1,10.0
9,100,3,0.1,0.2,1.0
10,100,3,0.5,0.1,1.0
11,100,2,0.5,0.04,1.0
12,400,4,0.3,0.02,20.0
13,100,2,0.3,0.1,1.0
14,200,2,0.01,0.02,0.1
15,200,2,0.01,0.02,0.1
16,100,3,0.3,0.1,1.0
17,100,2,0.1,0.2,0.1
18,200,2,0.01,0.2,0.1
19,100,4,0.3,0.02,0.1
